CUDA Device Number: 0
Queried Chip : GA102 
Total metrics on the chip 6780
Metric Name                                                                     	Num of Passes  	Collection Method
lts__t_sectors_srcunit_tex_aperture_device_op_atom_lookup_hit.sum               	1              	HW             
lts__t_sectors_srcunit_tex_aperture_device_op_atom_lookup_miss.avg              	1              	HW             
lts__t_sectors_srcunit_tex_aperture_device_op_atom_lookup_miss.max              	1              	HW             
lts__t_sectors_srcunit_tex_aperture_device_op_atom_lookup_miss.min              	1              	HW             
lts__t_sectors_srcunit_tex_aperture_device_op_atom_lookup_miss.sum              	1              	HW             
lts__t_sectors_srcunit_tex_aperture_device_op_membar.avg                        	1              	HW             
lts__t_sectors_srcunit_tex_aperture_device_op_membar.max                        	1              	HW             
lts__t_sectors_srcunit_tex_aperture_device_op_membar.min                        	1              	HW             
lts__t_sectors_srcunit_tex_aperture_device_op_membar.sum                        	1              	HW             
lts__t_sectors_srcunit_tex_aperture_device_op_membar_lookup_hit.avg             	1              	HW             
lts__t_sectors_srcunit_tex_aperture_device_op_membar_lookup_hit.max             	1              	HW             
lts__t_sectors_srcunit_tex_aperture_device_op_membar_lookup_hit.min             	1              	HW             
lts__t_sectors_srcunit_tex_aperture_device_op_membar_lookup_hit.sum             	1              	HW             
lts__t_sectors_srcunit_tex_aperture_device_op_membar_lookup_miss.avg            	1              	HW             
lts__t_sectors_srcunit_tex_aperture_device_op_membar_lookup_miss.max            	1              	HW             
lts__t_sectors_srcunit_tex_aperture_device_op_membar_lookup_miss.min            	1              	HW             
lts__t_sectors_srcunit_tex_aperture_device_op_membar_lookup_miss.sum            	1              	HW             
lts__t_sectors_srcunit_tex_aperture_device_op_read.avg                          	1              	HW             
lts__t_sectors_srcunit_tex_aperture_device_op_read.max                          	1              	HW             
lts__t_sectors_srcunit_tex_aperture_device_op_read.min                          	1              	HW             
lts__t_sectors_srcunit_tex_aperture_device_op_read.sum                          	1              	HW             
lts__t_sectors_srcunit_tex_aperture_device_op_read_lookup_hit.avg               	1              	HW             
lts__t_sectors_srcunit_tex_aperture_device_op_read_lookup_hit.max               	1              	HW             
lts__t_sectors_srcunit_tex_aperture_device_op_read_lookup_hit.min               	1              	HW             
lts__t_sectors_srcunit_tex_aperture_device_op_read_lookup_hit.sum               	1              	HW             
lts__t_sectors_srcunit_tex_aperture_device_op_read_lookup_miss.avg              	1              	HW             
lts__t_sectors_srcunit_tex_aperture_device_op_read_lookup_miss.max              	1              	HW             
lts__t_sectors_srcunit_tex_aperture_device_op_read_lookup_miss.min              	1              	HW             
lts__t_sectors_srcunit_tex_aperture_device_op_read_lookup_miss.sum              	1              	HW             
lts__t_sectors_srcunit_tex_aperture_device_op_red.avg                           	1              	HW             
lts__t_sectors_srcunit_tex_aperture_device_op_red.max                           	1              	HW             
lts__t_sectors_srcunit_tex_aperture_device_op_red.min                           	1              	HW             
lts__t_sectors_srcunit_tex_aperture_device_op_red.sum                           	1              	HW             
lts__t_sectors_srcunit_tex_aperture_device_op_red_lookup_hit.avg                	1              	HW             
lts__t_sectors_srcunit_tex_aperture_device_op_red_lookup_hit.max                	1              	HW             
lts__t_sectors_srcunit_tex_aperture_device_op_red_lookup_hit.min                	1              	HW             
lts__t_sectors_srcunit_tex_aperture_device_op_red_lookup_hit.sum                	1              	HW             
lts__t_sectors_srcunit_tex_aperture_device_op_red_lookup_miss.avg               	1              	HW             
lts__t_sectors_srcunit_tex_aperture_device_op_red_lookup_miss.max               	1              	HW             
lts__t_sectors_srcunit_tex_aperture_device_op_red_lookup_miss.min               	1              	HW             
lts__t_sectors_srcunit_tex_aperture_device_op_red_lookup_miss.sum               	1              	HW             
lts__t_sectors_srcunit_tex_aperture_device_op_write.avg                         	1              	HW             
lts__t_sectors_srcunit_tex_aperture_device_op_write.max                         	1              	HW             
lts__t_sectors_srcunit_tex_aperture_device_op_write.min                         	1              	HW             
lts__t_sectors_srcunit_tex_aperture_device_op_write.sum                         	1              	HW             
lts__t_sectors_srcunit_tex_aperture_device_op_write_lookup_hit.avg              	1              	HW             
lts__t_sectors_srcunit_tex_aperture_device_op_write_lookup_hit.max              	1              	HW             
lts__t_sectors_srcunit_tex_aperture_device_op_write_lookup_hit.min              	1              	HW             
lts__t_sectors_srcunit_tex_aperture_device_op_write_lookup_hit.sum              	1              	HW             
lts__t_sectors_srcunit_tex_aperture_device_op_write_lookup_miss.avg             	1              	HW             
lts__t_sectors_srcunit_tex_aperture_device_op_write_lookup_miss.max             	1              	HW             
lts__t_sectors_srcunit_tex_aperture_device_op_write_lookup_miss.min             	1              	HW             
lts__t_sectors_srcunit_tex_aperture_device_op_write_lookup_miss.sum             	1              	HW             
lts__t_sectors_srcunit_tex_aperture_peer.avg                                    	1              	HW             
lts__t_sectors_srcunit_tex_aperture_peer.max                                    	1              	HW             
lts__t_sectors_srcunit_tex_aperture_peer.min                                    	1              	HW             
lts__t_sectors_srcunit_tex_aperture_peer.sum                                    	1              	HW             
lts__t_sectors_srcunit_tex_aperture_peer_lookup_hit.avg                         	1              	HW             
lts__t_sectors_srcunit_tex_aperture_peer_lookup_hit.max                         	1              	HW             
lts__t_sectors_srcunit_tex_aperture_peer_lookup_hit.min                         	1              	HW             
lts__t_sectors_srcunit_tex_aperture_peer_lookup_hit.sum                         	1              	HW             
lts__t_sectors_srcunit_tex_aperture_peer_lookup_miss.avg                        	1              	HW             
lts__t_sectors_srcunit_tex_aperture_peer_lookup_miss.max                        	1              	HW             
lts__t_sectors_srcunit_tex_aperture_peer_lookup_miss.min                        	1              	HW             
lts__t_sectors_srcunit_tex_aperture_peer_lookup_miss.sum                        	1              	HW             
lts__t_sectors_srcunit_tex_aperture_peer_op_atom.avg                            	1              	HW             
lts__t_sectors_srcunit_tex_aperture_peer_op_atom.max                            	1              	HW             
lts__t_sectors_srcunit_tex_aperture_peer_op_atom.min                            	1              	HW             
lts__t_sectors_srcunit_tex_aperture_peer_op_atom.sum                            	1              	HW             
lts__t_sectors_srcunit_tex_aperture_peer_op_atom_dot_alu.avg                    	1              	HW             
lts__t_sectors_srcunit_tex_aperture_peer_op_atom_dot_alu.max                    	1              	HW             
lts__t_sectors_srcunit_tex_aperture_peer_op_atom_dot_alu.min                    	1              	HW             
lts__t_sectors_srcunit_tex_aperture_peer_op_atom_dot_alu.sum                    	1              	HW             
lts__t_sectors_srcunit_tex_aperture_peer_op_atom_dot_alu_lookup_hit.avg         	1              	HW             
lts__t_sectors_srcunit_tex_aperture_peer_op_atom_dot_alu_lookup_hit.max         	1              	HW             
lts__t_sectors_srcunit_tex_aperture_peer_op_atom_dot_alu_lookup_hit.min         	1              	HW             
lts__t_sectors_srcunit_tex_aperture_peer_op_atom_dot_alu_lookup_hit.sum         	1              	HW             
lts__t_sectors_srcunit_tex_aperture_peer_op_atom_dot_alu_lookup_miss.avg        	1              	HW             
lts__t_sectors_srcunit_tex_aperture_peer_op_atom_dot_alu_lookup_miss.max        	1              	HW             
lts__t_sectors_srcunit_tex_aperture_peer_op_atom_dot_alu_lookup_miss.min        	1              	HW             
lts__t_sectors_srcunit_tex_aperture_peer_op_atom_dot_alu_lookup_miss.sum        	1              	HW             
lts__t_sectors_srcunit_tex_aperture_peer_op_atom_dot_cas.avg                    	1              	HW             
lts__t_sectors_srcunit_tex_aperture_peer_op_atom_dot_cas.max                    	1              	HW             
lts__t_sectors_srcunit_tex_aperture_peer_op_atom_dot_cas.min                    	1              	HW             
lts__t_sectors_srcunit_tex_aperture_peer_op_atom_dot_cas.sum                    	1              	HW             
lts__t_sectors_srcunit_tex_aperture_peer_op_atom_dot_cas_lookup_hit.avg         	1              	HW             
lts__t_sectors_srcunit_tex_aperture_peer_op_atom_dot_cas_lookup_hit.max         	1              	HW             
lts__t_sectors_srcunit_tex_aperture_peer_op_atom_dot_cas_lookup_hit.min         	1              	HW             
lts__t_sectors_srcunit_tex_aperture_peer_op_atom_dot_cas_lookup_hit.sum         	1              	HW             
lts__t_sectors_srcunit_tex_aperture_peer_op_atom_dot_cas_lookup_miss.avg        	1              	HW             
lts__t_sectors_srcunit_tex_aperture_peer_op_atom_dot_cas_lookup_miss.max        	1              	HW             
lts__t_sectors_srcunit_tex_aperture_peer_op_atom_dot_cas_lookup_miss.min        	1              	HW             
lts__t_sectors_srcunit_tex_aperture_peer_op_atom_dot_cas_lookup_miss.sum        	1              	HW             
lts__t_sectors_srcunit_tex_aperture_peer_op_atom_lookup_hit.avg                 	1              	HW             
lts__t_sectors_srcunit_tex_aperture_peer_op_atom_lookup_hit.max                 	1              	HW             
lts__t_sectors_srcunit_tex_aperture_peer_op_atom_lookup_hit.min                 	1              	HW             
lts__t_sectors_srcunit_tex_aperture_peer_op_atom_lookup_hit.sum                 	1              	HW             
lts__t_sectors_srcunit_tex_aperture_peer_op_atom_lookup_miss.avg                	1              	HW             
lts__t_sectors_srcunit_tex_aperture_peer_op_atom_lookup_miss.max                	1              	HW             
lts__t_sectors_srcunit_tex_aperture_peer_op_atom_lookup_miss.min                	1              	HW             
lts__t_sectors_srcunit_tex_aperture_peer_op_atom_lookup_miss.sum                	1              	HW             
lts__t_sectors_srcunit_tex_aperture_peer_op_membar.avg                          	1              	HW             
lts__t_sectors_srcunit_tex_aperture_peer_op_membar.max                          	1              	HW             
lts__t_sectors_srcunit_tex_aperture_peer_op_membar.min                          	1              	HW             
lts__t_sectors_srcunit_tex_aperture_peer_op_membar.sum                          	1              	HW             
lts__t_sectors_srcunit_tex_aperture_peer_op_membar_lookup_hit.avg               	1              	HW             
lts__t_sectors_srcunit_tex_aperture_peer_op_membar_lookup_hit.max               	1              	HW             
lts__t_sectors_srcunit_tex_aperture_peer_op_membar_lookup_hit.min               	1              	HW             
lts__t_sectors_srcunit_tex_aperture_peer_op_membar_lookup_hit.sum               	1              	HW             
lts__t_sectors_srcunit_tex_aperture_peer_op_membar_lookup_miss.avg              	1              	HW             
lts__t_sectors_srcunit_tex_aperture_peer_op_membar_lookup_miss.max              	1              	HW             
lts__t_sectors_srcunit_tex_aperture_peer_op_membar_lookup_miss.min              	1              	HW             
lts__t_sectors_srcunit_tex_aperture_peer_op_membar_lookup_miss.sum              	1              	HW             
lts__t_sectors_srcunit_tex_aperture_peer_op_read.avg                            	1              	HW             
lts__t_sectors_srcunit_tex_aperture_peer_op_read.max                            	1              	HW             
lts__t_sectors_srcunit_tex_aperture_peer_op_read.min                            	1              	HW             
lts__t_sectors_srcunit_tex_aperture_peer_op_read.sum                            	1              	HW             
lts__t_sectors_srcunit_tex_aperture_peer_op_read_lookup_hit.avg                 	1              	HW             
lts__t_sectors_srcunit_tex_aperture_peer_op_read_lookup_hit.max                 	1              	HW             
lts__t_sectors_srcunit_tex_aperture_peer_op_read_lookup_hit.min                 	1              	HW             
lts__t_sectors_srcunit_tex_aperture_peer_op_read_lookup_hit.sum                 	1              	HW             
lts__t_sectors_srcunit_tex_aperture_peer_op_read_lookup_miss.avg                	1              	HW             
lts__t_sectors_srcunit_tex_aperture_peer_op_read_lookup_miss.max                	1              	HW             
lts__t_sectors_srcunit_tex_aperture_peer_op_read_lookup_miss.min                	1              	HW             
lts__t_sectors_srcunit_tex_aperture_peer_op_read_lookup_miss.sum                	1              	HW             
lts__t_sectors_srcunit_tex_aperture_peer_op_red.avg                             	1              	HW             
lts__t_sectors_srcunit_tex_aperture_peer_op_red.max                             	1              	HW             
lts__t_sectors_srcunit_tex_aperture_peer_op_red.min                             	1              	HW             
lts__t_sectors_srcunit_tex_aperture_peer_op_red.sum                             	1              	HW             
lts__t_sectors_srcunit_tex_aperture_peer_op_red_lookup_hit.avg                  	1              	HW             
lts__t_sectors_srcunit_tex_aperture_peer_op_red_lookup_hit.max                  	1              	HW             
lts__t_sectors_srcunit_tex_aperture_peer_op_red_lookup_hit.min                  	1              	HW             
lts__t_sectors_srcunit_tex_aperture_peer_op_red_lookup_hit.sum                  	1              	HW             
lts__t_sectors_srcunit_tex_aperture_peer_op_red_lookup_miss.avg                 	1              	HW             
lts__t_sectors_srcunit_tex_aperture_peer_op_red_lookup_miss.max                 	1              	HW             
lts__t_sectors_srcunit_tex_aperture_peer_op_red_lookup_miss.min                 	1              	HW             
lts__t_sectors_srcunit_tex_aperture_peer_op_red_lookup_miss.sum                 	1              	HW             
lts__t_sectors_srcunit_tex_aperture_peer_op_write.avg                           	1              	HW             
lts__t_sectors_srcunit_tex_aperture_peer_op_write.max                           	1              	HW             
lts__t_sectors_srcunit_tex_aperture_peer_op_write.min                           	1              	HW             
lts__t_sectors_srcunit_tex_aperture_peer_op_write.sum                           	1              	HW             
lts__t_sectors_srcunit_tex_aperture_peer_op_write_lookup_hit.avg                	1              	HW             
lts__t_sectors_srcunit_tex_aperture_peer_op_write_lookup_hit.max                	1              	HW             
lts__t_sectors_srcunit_tex_aperture_peer_op_write_lookup_hit.min                	1              	HW             
lts__t_sectors_srcunit_tex_aperture_peer_op_write_lookup_hit.sum                	1              	HW             
lts__t_sectors_srcunit_tex_aperture_peer_op_write_lookup_miss.avg               	1              	HW             
lts__t_sectors_srcunit_tex_aperture_peer_op_write_lookup_miss.max               	1              	HW             
lts__t_sectors_srcunit_tex_aperture_peer_op_write_lookup_miss.min               	1              	HW             
lts__t_sectors_srcunit_tex_aperture_peer_op_write_lookup_miss.sum               	1              	HW             
lts__t_sectors_srcunit_tex_aperture_sysmem.avg                                  	1              	HW             
lts__t_sectors_srcunit_tex_aperture_sysmem.max                                  	1              	HW             
lts__t_sectors_srcunit_tex_aperture_sysmem.min                                  	1              	HW             
lts__t_sectors_srcunit_tex_aperture_sysmem.sum                                  	1              	HW             
lts__t_sectors_srcunit_tex_aperture_sysmem_lookup_hit.avg                       	1              	HW             
lts__t_sectors_srcunit_tex_aperture_sysmem_lookup_hit.max                       	1              	HW             
lts__t_sectors_srcunit_tex_aperture_sysmem_lookup_hit.min                       	1              	HW             
lts__t_sectors_srcunit_tex_aperture_sysmem_lookup_hit.sum                       	1              	HW             
lts__t_sectors_srcunit_tex_aperture_sysmem_lookup_miss.avg                      	1              	HW             
lts__t_sectors_srcunit_tex_aperture_sysmem_lookup_miss.max                      	1              	HW             
lts__t_sectors_srcunit_tex_aperture_sysmem_lookup_miss.min                      	1              	HW             
lts__t_sectors_srcunit_tex_aperture_sysmem_lookup_miss.sum                      	1              	HW             
lts__t_sectors_srcunit_tex_aperture_sysmem_op_atom.avg                          	1              	HW             
lts__t_sectors_srcunit_tex_aperture_sysmem_op_atom.max                          	1              	HW             
lts__t_sectors_srcunit_tex_aperture_sysmem_op_atom.min                          	1              	HW             
lts__t_sectors_srcunit_tex_aperture_sysmem_op_atom.sum                          	1              	HW             
lts__t_sectors_srcunit_tex_aperture_sysmem_op_atom_dot_alu.avg                  	1              	HW             
lts__t_sectors_srcunit_tex_aperture_sysmem_op_atom_dot_alu.max                  	1              	HW             
lts__t_sectors_srcunit_tex_aperture_sysmem_op_atom_dot_alu.min                  	1              	HW             
lts__t_sectors_srcunit_tex_aperture_sysmem_op_atom_dot_alu.sum                  	1              	HW             
lts__t_sectors_srcunit_tex_aperture_sysmem_op_atom_dot_alu_lookup_hit.avg       	1              	HW             
lts__t_sectors_srcunit_tex_aperture_sysmem_op_atom_dot_alu_lookup_hit.max       	1              	HW             
lts__t_sectors_srcunit_tex_aperture_sysmem_op_atom_dot_alu_lookup_hit.min       	1              	HW             
lts__t_sectors_srcunit_tex_aperture_sysmem_op_atom_dot_alu_lookup_hit.sum       	1              	HW             
lts__t_sectors_srcunit_tex_aperture_sysmem_op_atom_dot_alu_lookup_miss.avg      	1              	HW             
lts__t_sectors_srcunit_tex_aperture_sysmem_op_atom_dot_alu_lookup_miss.max      	1              	HW             
lts__t_sectors_srcunit_tex_aperture_sysmem_op_atom_dot_alu_lookup_miss.min      	1              	HW             
lts__t_sectors_srcunit_tex_aperture_sysmem_op_atom_dot_alu_lookup_miss.sum      	1              	HW             
lts__t_sectors_srcunit_tex_aperture_sysmem_op_atom_dot_cas.avg                  	1              	HW             
lts__t_sectors_srcunit_tex_aperture_sysmem_op_atom_dot_cas.max                  	1              	HW             
lts__t_sectors_srcunit_tex_aperture_sysmem_op_atom_dot_cas.min                  	1              	HW             
lts__t_sectors_srcunit_tex_aperture_sysmem_op_atom_dot_cas.sum                  	1              	HW             
lts__t_sectors_srcunit_tex_aperture_sysmem_op_atom_dot_cas_lookup_hit.avg       	1              	HW             
lts__t_sectors_srcunit_tex_aperture_sysmem_op_atom_dot_cas_lookup_hit.max       	1              	HW             
lts__t_sectors_srcunit_tex_aperture_sysmem_op_atom_dot_cas_lookup_hit.min       	1              	HW             
lts__t_sectors_srcunit_tex_aperture_sysmem_op_atom_dot_cas_lookup_hit.sum       	1              	HW             
lts__t_sectors_srcunit_tex_aperture_sysmem_op_atom_dot_cas_lookup_miss.avg      	1              	HW             
lts__t_sectors_srcunit_tex_aperture_sysmem_op_atom_dot_cas_lookup_miss.max      	1              	HW             
lts__t_sectors_srcunit_tex_aperture_sysmem_op_atom_dot_cas_lookup_miss.min      	1              	HW             
lts__t_sectors_srcunit_tex_aperture_sysmem_op_atom_dot_cas_lookup_miss.sum      	1              	HW             
lts__t_sectors_srcunit_tex_aperture_sysmem_op_atom_lookup_hit.avg               	1              	HW             
lts__t_sectors_srcunit_tex_aperture_sysmem_op_atom_lookup_hit.max               	1              	HW             
lts__t_sectors_srcunit_tex_aperture_sysmem_op_atom_lookup_hit.min               	1              	HW             
lts__t_sectors_srcunit_tex_aperture_sysmem_op_atom_lookup_hit.sum               	1              	HW             
lts__t_sectors_srcunit_tex_aperture_sysmem_op_atom_lookup_miss.avg              	1              	HW             
lts__t_sectors_srcunit_tex_aperture_sysmem_op_atom_lookup_miss.max              	1              	HW             
lts__t_sectors_srcunit_tex_aperture_sysmem_op_atom_lookup_miss.min              	1              	HW             
lts__t_sectors_srcunit_tex_aperture_sysmem_op_atom_lookup_miss.sum              	1              	HW             
lts__t_sectors_srcunit_tex_aperture_sysmem_op_membar.avg                        	1              	HW             
lts__t_sectors_srcunit_tex_aperture_sysmem_op_membar.max                        	1              	HW             
lts__t_sectors_srcunit_tex_aperture_sysmem_op_membar.min                        	1              	HW             
lts__t_sectors_srcunit_tex_aperture_sysmem_op_membar.sum                        	1              	HW             
lts__t_sectors_srcunit_tex_aperture_sysmem_op_membar_lookup_hit.avg             	1              	HW             
lts__t_sectors_srcunit_tex_aperture_sysmem_op_membar_lookup_hit.max             	1              	HW             
lts__t_sectors_srcunit_tex_aperture_sysmem_op_membar_lookup_hit.min             	1              	HW             
lts__t_sectors_srcunit_tex_aperture_sysmem_op_membar_lookup_hit.sum             	1              	HW             
lts__t_sectors_srcunit_tex_aperture_sysmem_op_membar_lookup_miss.avg            	1              	HW             
lts__t_sectors_srcunit_tex_aperture_sysmem_op_membar_lookup_miss.max            	1              	HW             
lts__t_sectors_srcunit_tex_aperture_sysmem_op_membar_lookup_miss.min            	1              	HW             
lts__t_sectors_srcunit_tex_aperture_sysmem_op_membar_lookup_miss.sum            	1              	HW             
lts__t_sectors_srcunit_tex_aperture_sysmem_op_read.avg                          	1              	HW             
lts__t_sectors_srcunit_tex_aperture_sysmem_op_read.max                          	1              	HW             
lts__t_sectors_srcunit_tex_aperture_sysmem_op_read.min                          	1              	HW             
lts__t_sectors_srcunit_tex_aperture_sysmem_op_read.sum                          	1              	HW             
lts__t_sectors_srcunit_tex_aperture_sysmem_op_read_lookup_hit.avg               	1              	HW             
lts__t_sectors_srcunit_tex_aperture_sysmem_op_read_lookup_hit.max               	1              	HW             
lts__t_sectors_srcunit_tex_aperture_sysmem_op_read_lookup_hit.min               	1              	HW             
lts__t_sectors_srcunit_tex_aperture_sysmem_op_read_lookup_hit.sum               	1              	HW             
lts__t_sectors_srcunit_tex_aperture_sysmem_op_read_lookup_miss.avg              	1              	HW             
lts__t_sectors_srcunit_tex_aperture_sysmem_op_read_lookup_miss.max              	1              	HW             
lts__t_sectors_srcunit_tex_aperture_sysmem_op_read_lookup_miss.min              	1              	HW             
lts__t_sectors_srcunit_tex_aperture_sysmem_op_read_lookup_miss.sum              	1              	HW             
lts__t_sectors_srcunit_tex_aperture_sysmem_op_red.avg                           	1              	HW             
lts__t_sectors_srcunit_tex_aperture_sysmem_op_red.max                           	1              	HW             
lts__t_sectors_srcunit_tex_aperture_sysmem_op_red.min                           	1              	HW             
lts__t_sectors_srcunit_tex_aperture_sysmem_op_red.sum                           	1              	HW             
lts__t_sectors_srcunit_tex_aperture_sysmem_op_red_lookup_hit.avg                	1              	HW             
lts__t_sectors_srcunit_tex_aperture_sysmem_op_red_lookup_hit.max                	1              	HW             
lts__t_sectors_srcunit_tex_aperture_sysmem_op_red_lookup_hit.min                	1              	HW             
lts__t_sectors_srcunit_tex_aperture_sysmem_op_red_lookup_hit.sum                	1              	HW             
lts__t_sectors_srcunit_tex_aperture_sysmem_op_red_lookup_miss.avg               	1              	HW             
lts__t_sectors_srcunit_tex_aperture_sysmem_op_red_lookup_miss.max               	1              	HW             
lts__t_sectors_srcunit_tex_aperture_sysmem_op_red_lookup_miss.min               	1              	HW             
lts__t_sectors_srcunit_tex_aperture_sysmem_op_red_lookup_miss.sum               	1              	HW             
lts__t_sectors_srcunit_tex_aperture_sysmem_op_write.avg                         	1              	HW             
lts__t_sectors_srcunit_tex_aperture_sysmem_op_write.max                         	1              	HW             
lts__t_sectors_srcunit_tex_aperture_sysmem_op_write.min                         	1              	HW             
lts__t_sectors_srcunit_tex_aperture_sysmem_op_write.sum                         	1              	HW             
lts__t_sectors_srcunit_tex_aperture_sysmem_op_write_lookup_hit.avg              	1              	HW             
lts__t_sectors_srcunit_tex_aperture_sysmem_op_write_lookup_hit.max              	1              	HW             
lts__t_sectors_srcunit_tex_aperture_sysmem_op_write_lookup_hit.min              	1              	HW             
lts__t_sectors_srcunit_tex_aperture_sysmem_op_write_lookup_hit.sum              	1              	HW             
lts__t_sectors_srcunit_tex_aperture_sysmem_op_write_lookup_miss.avg             	1              	HW             
lts__t_sectors_srcunit_tex_aperture_sysmem_op_write_lookup_miss.max             	1              	HW             
lts__t_sectors_srcunit_tex_aperture_sysmem_op_write_lookup_miss.min             	1              	HW             
lts__t_sectors_srcunit_tex_aperture_sysmem_op_write_lookup_miss.sum             	1              	HW             
lts__t_sectors_srcunit_tex_lookup_hit.avg                                       	1              	HW             
lts__t_sectors_srcunit_tex_lookup_hit.max                                       	1              	HW             
lts__t_sectors_srcunit_tex_lookup_hit.min                                       	1              	HW             
lts__t_sectors_srcunit_tex_lookup_hit.sum                                       	1              	HW             
lts__t_sectors_srcunit_tex_lookup_miss.avg                                      	1              	HW             
lts__t_sectors_srcunit_tex_lookup_miss.max                                      	1              	HW             
lts__t_sectors_srcunit_tex_lookup_miss.min                                      	1              	HW             
lts__t_sectors_srcunit_tex_lookup_miss.sum                                      	1              	HW             
lts__t_sectors_srcunit_tex_op_atom.avg                                          	1              	HW             
lts__t_sectors_srcunit_tex_op_atom.max                                          	1              	HW             
lts__t_sectors_srcunit_tex_op_atom.min                                          	1              	HW             
lts__t_sectors_srcunit_tex_op_atom.sum                                          	1              	HW             
lts__t_sectors_srcunit_tex_op_atom_dot_alu.avg                                  	1              	HW             
lts__t_sectors_srcunit_tex_op_atom_dot_alu.max                                  	1              	HW             
lts__t_sectors_srcunit_tex_op_atom_dot_alu.min                                  	1              	HW             
lts__t_sectors_srcunit_tex_op_atom_dot_alu.sum                                  	1              	HW             
lts__t_sectors_srcunit_tex_op_atom_dot_alu_lookup_hit.avg                       	1              	HW             
lts__t_sectors_srcunit_tex_op_atom_dot_alu_lookup_hit.max                       	1              	HW             
lts__t_sectors_srcunit_tex_op_atom_dot_alu_lookup_hit.min                       	1              	HW             
lts__t_sectors_srcunit_tex_op_atom_dot_alu_lookup_hit.sum                       	1              	HW             
lts__t_sectors_srcunit_tex_op_atom_dot_alu_lookup_miss.avg                      	1              	HW             
lts__t_sectors_srcunit_tex_op_atom_dot_alu_lookup_miss.max                      	1              	HW             
lts__t_sectors_srcunit_tex_op_atom_dot_alu_lookup_miss.min                      	1              	HW             
lts__t_sectors_srcunit_tex_op_atom_dot_alu_lookup_miss.sum                      	1              	HW             
lts__t_sectors_srcunit_tex_op_atom_dot_cas.avg                                  	1              	HW             
lts__t_sectors_srcunit_tex_op_atom_dot_cas.max                                  	1              	HW             
lts__t_sectors_srcunit_tex_op_atom_dot_cas.min                                  	1              	HW             
lts__t_sectors_srcunit_tex_op_atom_dot_cas.sum                                  	1              	HW             
lts__t_sectors_srcunit_tex_op_atom_dot_cas_lookup_hit.avg                       	1              	HW             
lts__t_sectors_srcunit_tex_op_atom_dot_cas_lookup_hit.max                       	1              	HW             
lts__t_sectors_srcunit_tex_op_atom_dot_cas_lookup_hit.min                       	1              	HW             
lts__t_sectors_srcunit_tex_op_atom_dot_cas_lookup_hit.sum                       	1              	HW             
lts__t_sectors_srcunit_tex_op_atom_dot_cas_lookup_miss.avg                      	1              	HW             
lts__t_sectors_srcunit_tex_op_atom_dot_cas_lookup_miss.max                      	1              	HW             
lts__t_sectors_srcunit_tex_op_atom_dot_cas_lookup_miss.min                      	1              	HW             
lts__t_sectors_srcunit_tex_op_atom_dot_cas_lookup_miss.sum                      	1              	HW             
lts__t_sectors_srcunit_tex_op_atom_lookup_hit.avg                               	1              	HW             
lts__t_sectors_srcunit_tex_op_atom_lookup_hit.max                               	1              	HW             
lts__t_sectors_srcunit_tex_op_atom_lookup_hit.min                               	1              	HW             
lts__t_sectors_srcunit_tex_op_atom_lookup_hit.sum                               	1              	HW             
lts__t_sectors_srcunit_tex_op_atom_lookup_miss.avg                              	1              	HW             
lts__t_sectors_srcunit_tex_op_atom_lookup_miss.max                              	1              	HW             
lts__t_sectors_srcunit_tex_op_atom_lookup_miss.min                              	1              	HW             
lts__t_sectors_srcunit_tex_op_atom_lookup_miss.sum                              	1              	HW             
lts__t_sectors_srcunit_tex_op_membar.avg                                        	1              	HW             
lts__t_sectors_srcunit_tex_op_membar.max                                        	1              	HW             
lts__t_sectors_srcunit_tex_op_membar.min                                        	1              	HW             
lts__t_sectors_srcunit_tex_op_membar.sum                                        	1              	HW             
lts__t_sectors_srcunit_tex_op_membar_lookup_hit.avg                             	1              	HW             
lts__t_sectors_srcunit_tex_op_membar_lookup_hit.max                             	1              	HW             
lts__t_sectors_srcunit_tex_op_membar_lookup_hit.min                             	1              	HW             
lts__t_sectors_srcunit_tex_op_membar_lookup_hit.sum                             	1              	HW             
lts__t_sectors_srcunit_tex_op_membar_lookup_miss.avg                            	1              	HW             
lts__t_sectors_srcunit_tex_op_membar_lookup_miss.max                            	1              	HW             
lts__t_sectors_srcunit_tex_op_membar_lookup_miss.min                            	1              	HW             
lts__t_sectors_srcunit_tex_op_membar_lookup_miss.sum                            	1              	HW             
lts__t_sectors_srcunit_tex_op_read.avg                                          	1              	HW             
lts__t_sectors_srcunit_tex_op_read.max                                          	1              	HW             
lts__t_sectors_srcunit_tex_op_read.min                                          	1              	HW             
lts__t_sectors_srcunit_tex_op_read.sum                                          	1              	HW             
lts__t_sectors_srcunit_tex_op_read_lookup_hit.avg                               	1              	HW             
lts__t_sectors_srcunit_tex_op_read_lookup_hit.max                               	1              	HW             
lts__t_sectors_srcunit_tex_op_read_lookup_hit.min                               	1              	HW             
lts__t_sectors_srcunit_tex_op_read_lookup_hit.sum                               	1              	HW             
lts__t_sectors_srcunit_tex_op_read_lookup_miss.avg                              	1              	HW             
lts__t_sectors_srcunit_tex_op_read_lookup_miss.max                              	1              	HW             
lts__t_sectors_srcunit_tex_op_read_lookup_miss.min                              	1              	HW             
lts__t_sectors_srcunit_tex_op_read_lookup_miss.sum                              	1              	HW             
lts__t_sectors_srcunit_tex_op_red.avg                                           	1              	HW             
